id,IND_BOM_1_1
0,1
1,1
2,0
3,1
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,1
36,0
37,0
38,0
39,1
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,1
83,1
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,1
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,1
145,0
146,1
147,0
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,1
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,1
214,1
215,0
216,1
217,1
218,1
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,0
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,0
239,0
240,0
241,0
242,1
243,0
244,1
245,0
246,1
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,0
265,0
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,1
281,0
282,0
283,1
284,1
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,1
299,1
300,0
301,0
302,0
303,1
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,1
318,1
319,1
320,0
321,1
322,0
323,0
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,1
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,0
358,1
359,0
360,0
361,0
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,0
385,1
386,0
387,1
388,0
389,1
390,0
391,1
392,0
393,0
394,1
395,0
396,0
397,0
398,1
399,0
400,1
401,1
402,1
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,0
419,1
420,1
421,1
422,1
423,0
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,1
438,0
439,1
440,1
441,0
442,0
443,1
444,0
445,0
446,1
447,0
448,1
449,1
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,0
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,0
471,1
472,1
473,1
474,0
475,0
476,1
477,1
478,1
479,0
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,0
494,1
495,1
496,0
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,1
506,1
507,1
508,0
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,1
521,0
522,0
523,0
524,1
525,1
526,0
527,1
528,0
529,1
530,1
531,1
532,1
533,1
534,0
535,0
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,0
544,1
545,1
546,1
547,0
548,1
549,1
550,0
551,0
552,1
553,0
554,0
555,1
556,0
557,1
558,0
559,0
560,0
561,1
562,1
563,1
564,0
565,1
566,1
567,0
568,1
569,1
570,0
571,0
572,0
573,1
574,1
575,1
576,0
577,0
578,1
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,0
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,0
596,1
597,0
598,1
599,0
600,1
601,1
602,0
603,0
604,1
605,1
606,1
607,1
608,1
609,0
610,0
611,1
612,1
613,1
614,1
615,0
616,0
617,1
618,1
619,1
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,1
628,0
629,0
630,1
631,1
632,0
633,1
634,0
635,0
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,0
644,1
645,0
646,1
647,0
648,0
649,0
650,0
651,0
652,1
653,1
654,1
655,1
656,1
657,0
658,0
659,0
660,0
661,0
662,1
663,0
664,0
665,1
666,1
667,1
668,0
669,1
670,0
671,1
672,1
673,0
674,0
675,1
676,0
677,0
678,0
679,1
680,1
681,0
682,1
683,0
684,1
685,0
686,0
687,1
688,0
689,0
690,0
691,0
692,1
693,0
694,1
695,0
696,0
697,1
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,0
713,0
714,1
715,1
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,0
726,1
727,1
728,1
729,0
730,0
731,0
732,1
733,1
734,1
735,1
736,1
737,0
738,0
739,1
740,0
741,0
742,1
743,0
744,1
745,0
746,1
747,1
748,0
749,1
750,1
751,0
752,1
753,1
754,1
755,1
756,0
757,0
758,1
759,0
760,1
761,1
762,1
763,1
764,0
765,1
766,0
767,0
768,0
769,1
770,1
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,0
779,0
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,0
788,1
789,1
790,0
791,0
792,0
793,0
794,1
795,1
796,0
797,0
798,0
799,1
800,1
801,0
802,0
803,1
804,1
805,1
806,0
807,0
808,1
809,1
810,1
